RowID;Date/Time;Cogeneration (kWh);Wind (kWh);Photovoltaics (kWh);Hydro (kWh);Other Technologies (kWh);Distribution Network (kWh);temperature_2m (°C);relative_humidity_2m (%);precipitation (mm);rain (mm);snowfall (cm);cloud_cover (%);Wind_Direction_10m;wind_speed_10m (km/h);Wind_Direction_100m;wind_speed_100m (km/h);direct_radiation (W/m²);shortwave_radiation (W/m²);diffuse_radiation (W/m²);direct_normal_irradiance (W/m²);terrestrial_radiation (W/m²);Productions
20;2024-02-16 18:00:00;38294.5625;119437.5625;140.8125;49542.9375;83473.21574999999;290889.09075;13.6;80.0;;;0.0;;West;4.3;West;7.2;7.0;35.0;28.0;53.0;142.1;Medium-Low Production
21;2024-12-08 16:00:00;61272.75;933357.875;8409.6875;17569.625;51035.2035;;11.7;;;;0.0;21.0;North;16.6;;26.9;95.0;164.0;69.0;;311.9;Medium Production
22;2024-08-21 07:00:00;47106.75;452976.25;nan;1904.8125;91559.66575;599726.1032499999;21.1;65.0;;;0.0;55.0;Northwest;8.0;Northwest;20.6;38.0;69.0;31.0;267.9;154.1;Low Production
23;2024-11-27 03:00:00;68323.875;139853.25;0.0;20492.0;40939.776750000005;269608.90175;7.3;;;;0.0;98.0;Northwest;;North;15.9;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
24;2024-05-11 18:00:00;32019.625;396355.625;4525.0625;30416.375;104097.89862574998;567414.58612575;19.7;74.0;;;0.0;0.0;;12.1;;16.2;256.0;333.0;77.0;655.9;523.4;Low Production
25;2024-03-15 04:00:00;26941.6875;187966.6875;0.0;52668.125;;350942.1875;12.6;99.0;;;0.0;100.0;West;2.1;West;3.3;0.0;0.0;0.0;0.0;0.0;High Production
26;2024-11-06 02:00:00;60175.9375;197533.8125;0.0;14814.75;46382.08175;318906.58175;16.6;95.0;;;;100.0;Northwest;5.9;Northwest;14.7;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
27;2024-11-21 00:00:00;62663.625;669366.4375;0.0;8032.5625;34901.848;;12.4;99.0;;;;90.0;North;7.5;Northeast;16.3;0.0;0.0;nan;0.0;0.0;Medium-High Production
28;2024-02-07 22:00:00;37187.5;875499.0;0.4375;37507.5;;1036555.906;13.9;88.0;0.1;;0.0;100.0;West;23.9;West;39.7;0.0;0.0;nan;0.0;0.0;Medium Production
29;2024-08-10 20:00:00;41912.5;150305.625;0.0;4951.875;78040.00350000002;;25.0;70.0;;;0.0;6.0;West;6.4;West;11.5;5.0;;nan;55.5;61.6;Medium-Low Production
30;2024-10-19 10:00:00;nan;507942.3125;15351.875;29283.0625;57565.23750000002;671542.05;16.6;94.0;0.6;0.6;0.0;100.0;Southwest;15.9;Southwest;26.0;0.0;41.0;41.0;;;Low Production
31;2024-01-13 07:00:00;4573.375;1078577.125;0.0;35658.5;82077.0625;;8.6;;0.5;0.5;0.0;99.0;East;20.9;East;40.7;0.0;0.0;0.0;0.0;0.0;Medium Production
32;2024-07-09 20:00:00;61163.625;;5.6875;5700.75;76915.05999999998;;18.4;96.0;0.1;0.1;0.0;100.0;West;7.5;West;13.4;0.0;;8.0;0.0;130.1;High Production
33;2024-02-15 14:00:00;40020.875;714329.0;nan;52064.875;;931833.92575;13.9;88.0;0.3;0.3;;100.0;Southeast;14.9;Southeast;21.0;63.0;223.0;160.0;110.5;799.8;Medium-High Production
34;2024-04-25 02:00:00;40945.9375;508092.4375;0.0;27573.5625;89966.9375;666578.875;11.4;74.0;;;0.0;100.0;Northwest;7.9;Northwest;17.6;;0.0;0.0;0.0;0.0;Low Production
35;2024-07-20 08:00:00;46147.4375;265131.6875;14466.8125;4810.9375;96903.0295;427459.9045;;87.0;;;0.0;100.0;Northwest;6.6;Northwest;8.4;2.0;96.0;94.0;5.2;508.1;High Production
36;2024-10-05 18:00:00;58943.0625;;60.25;9901.75;42618.3505;902559.6005;18.6;99.0;1.4;1.4;0.0;100.0;South;19.6;South;37.9;0.0;6.0;6.0;0.0;147.7;Medium-High Production
37;2024-02-25 14:00:00;19417.25;;13437.125;46845.4375;;1285159.308;13.2;95.0;1.7;1.7;;100.0;Northwest;36.0;;54.2;0.0;20.0;20.0;0.0;864.1;Low Production
38;2024-03-01 02:00:00;22614.25;622550.9375;0.0;48509.875;85610.375;779285.4375;6.0;82.0;;;0.0;100.0;Northeast;3.6;Northeast;4.3;0.0;0.0;0.0;0.0;;Medium-High Production
39;2024-10-17 01:00:00;57840.875;369541.8125;0.125;26036.3125;40221.722250000006;493640.84725;12.9;96.0;0.7;0.7;0.0;;South;4.2;South;7.0;0.0;0.0;0.0;0.0;0.0;High Production
40;2024-11-29 13:00:00;76498.0625;262932.5;14028.875;28327.0625;64726.685;446513.185;18.5;;0.2;0.2;0.0;100.0;Northeast;10.6;Northeast;15.1;190.0;327.0;137.0;422.4;632.5;High Production
41;2024-03-31 04:00:00;19976.3125;166799.875;0.25;55044.4375;84329.375;326150.25;6.6;91.0;0.5;0.5;0.0;99.0;Southeast;;South;13.7;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
42;2024-05-25 09:00:00;47083.25;;29071.6875;24953.8125;115992.40158;299946.02658;14.2;81.0;;;0.0;99.0;Northwest;6.2;Northwest;7.8;148.0;352.0;204.0;253.1;779.6;Medium-Low Production
43;2024-10-28 01:00:00;59942.375;716086.5625;0.0;12690.0625;43723.26000000001;832442.26;9.4;86.0;;;0.0;0.0;Northwest;8.3;Northwest;;0.0;0.0;0.0;0.0;0.0;Medium-High Production
44;2024-03-06 01:00:00;26517.0625;48359.125;0.0;50407.375;80941.25;206224.8125;5.0;93.0;;;;100.0;South;5.9;South;10.6;0.0;0.0;0.0;0.0;;Medium-Low Production
45;2024-03-22 09:00:00;39950.625;609128.875;6033.5625;49850.1875;;796973.625;19.6;70.0;;;0.0;0.0;Northwest;10.5;Northwest;22.1;240.0;310.0;70.0;678.7;487.3;Medium-High Production
46;2024-12-17 08:00:00;nan;750089.375;1202.0;11840.9375;51740.029499999975;897221.842;9.8;55.0;;;0.0;88.0;Southeast;10.0;Southeast;23.2;0.0;0.0;0.0;0.0;0.0;Medium-High Production
47;2024-01-09 09:00:00;21722.8125;64137.875;1133.8125;45558.5;83359.5;215912.5;6.8;85.0;;;0.0;100.0;Southwest;;West;15.9;0.0;13.0;13.0;0.0;96.2;Medium-Low Production
48;2024-11-26 17:00:00;76840.25;;340.9375;30813.4375;31806.36275;;12.8;80.0;;;0.0;80.0;Northwest;4.3;Northwest;11.1;19.0;47.0;28.0;159.0;120.9;Medium-Low Production
49;2024-03-17 21:00:00;20535.375;54420.8125;0.125;52261.8125;83007.75;210225.875;14.0;94.0;;;0.0;100.0;South;3.2;South;3.3;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
50;2024-06-27 16:00:00;53744.375;59701.625;11101.625;;104808.1875;241762.25;29.0;59.0;0.1;0.1;0.0;84.0;North;4.4;North;5.8;316.0;539.0;223.0;415.1;1007.5;Medium-Low Production
51;2024-08-03 00:00:00;42675.1875;376503.0625;0.125;3019.5;82228.0025;504425.8775;16.9;91.0;;;0.0;0.0;Southwest;4.2;Southwest;2.6;0.0;0.0;0.0;0.0;0.0;High Production
52;2024-09-30 23:00:00;nan;;0.0;;44378.31725000001;472081.19225;17.1;93.0;;;0.0;100.0;Northwest;6.4;Northwest;9.2;0.0;0.0;0.0;0.0;0.0;Medium-High Production
53;2024-12-21 03:00:00;68143.4375;456722.75;0.0;10772.875;47003.41175000003;582642.47425;2.5;92.0;;;0.0;0.0;Southwest;5.9;Southwest;14.2;0.0;0.0;0.0;0.0;0.0;Low Production
54;2024-04-30 00:00:00;45245.375;347282.5625;0.0;28762.875;93518.625;514809.4375;9.1;85.0;;;0.0;98.0;East;5.2;East;10.5;0.0;0.0;0.0;0.0;0.0;High Production
55;2024-03-16 04:00:00;21060.4375;;0.0;;85483.8125;404589.825;11.9;;;;0.0;100.0;Southwest;5.1;Southwest;10.9;0.0;;0.0;0.0;0.0;High Production
56;2024-11-25 06:00:00;66083.625;578148.0625;0.1875;21019.0625;37981.52325;703232.46075;9.8;95.0;;0.1;0.0;38.0;Northeast;5.1;Northeast;11.1;0.0;0.0;0.0;0.0;0.0;Low Production
57;2024-03-27 15:00:00;44417.8125;1068745.0625;5324.0;50055.4375;99062.3125;1267604.625;;;3.9;3.9;0.0;;North;;North;62.2;;358.0;247.0;160.0;953.5;Medium Production
58;2024-01-15 05:00:00;3298.8125;764518.0625;0.0;44274.875;82910.1875;895001.9375;14.6;97.0;2.9;2.9;0.0;100.0;Northeast;15.1;Northeast;26.6;0.0;0.0;0.0;0.0;0.0;Medium-High Production
59;2024-12-04 09:00:00;74799.75;276033.375;9548.875;19636.125;52381.35799999999;432399.483;9.2;99.0;;;0.0;;Southwest;5.9;Southwest;8.3;10.0;48.0;nan;77.1;154.0;High Production
60;2024-05-14 00:00:00;36510.0625;766074.75;0.0625;;96680.52374999996;921105.64875;11.4;89.0;0.1;0.1;0.0;94.0;Northwest;9.4;Northwest;17.2;0.0;0.0;0.0;0.0;;Medium-High Production
61;2024-01-28 04:00:00;3815.9375;659469.5625;nan;42081.875;74283.125;;;94.0;;;0.0;43.0;West;5.4;West;9.5;0.0;0.0;nan;0.0;0.0;Medium-High Production
62;2024-10-18 09:00:00;72589.0625;292115.1875;10225.5625;29743.4375;52736.96775;457410.21775;15.6;88.0;;;0.0;100.0;West;;West;6.3;5.0;72.0;67.0;;393.1;High Production
63;2024-08-17 12:00:00;42908.25;217173.4375;34751.4375;3893.8125;122534.5335;421261.471;30.8;45.0;;;0.0;100.0;Northwest;14.8;Northwest;;625.0;788.0;163.0;738.4;1129.8;High Production
64;2024-10-25 14:00:00;72872.125;571443.5625;23446.75;25070.0;61216.179;754048.6165;13.8;66.0;;;0.0;13.0;Southeast;13.5;Southeast;18.2;276.0;409.0;133.0;500.6;763.1;Medium-High Production
65;2024-10-23 14:00:00;67558.5625;141103.875;27506.5625;19768.125;;319939.41675;;59.0;;;0.0;1.0;West;10.7;West;14.6;463.0;546.0;83.0;825.1;775.9;Medium-Low Production
66;2024-04-06 02:00:00;20853.125;878867.0625;0.0;52317.5;89131.8125;1041169.5;14.9;89.0;0.5;0.5;0.0;100.0;Northwest;18.1;Northwest;;0.0;0.0;0.0;0.0;0.0;Medium Production
67;2024-03-09 05:00:00;22396.875;803967.375;nan;45675.5;87762.3125;959802.0625;5.6;93.0;0.9;0.9;0.0;100.0;;17.9;South;29.3;;0.0;0.0;0.0;0.0;Medium-High Production
68;2024-05-09 06:00:00;47826.5;275954.0625;1685.0625;27620.5625;91844.094128;444930.281628;12.4;74.0;;;0.0;100.0;West;9.8;;20.0;;12.0;11.0;;60.7;High Production
69;2024-06-13 04:00:00;45798.5625;166483.0625;0.0;7786.1875;88556.25;308624.0625;14.6;78.0;;;;67.0;Northwest;1.5;Northwest;1.1;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
70;2024-11-05 06:00:00;59749.0625;541620.8125;0.0;11833.25;47003.86175000001;;14.5;88.0;;;0.0;;Southwest;8.6;Southwest;22.1;0.0;0.0;0.0;0.0;0.0;Low Production
71;2024-04-24 06:00:00;55691.5;350703.25;854.875;29089.4375;89651.375;525990.4375;9.2;68.0;;;0.0;100.0;West;6.7;Northwest;19.9;0.0;3.0;3.0;;22.8;High Production
72;2024-10-02 02:00:00;66213.5;325134.1875;0.0;2412.6875;42305.238;436065.613;18.5;100.0;;;0.0;;North;9.9;North;18.6;0.0;0.0;0.0;0.0;0.0;High Production
73;2024-12-10 11:00:00;74529.375;166918.875;28908.375;18607.5;67543.68074999998;356507.80575;;69.0;;;0.0;0.0;Southeast;2.8;Southeast;5.7;259.0;322.0;nan;758.1;481.9;High Production
74;2024-01-11 04:00:00;6757.0;198510.625;0.0;40586.375;;327451.875;3.9;94.0;;;0.0;18.0;Northwest;5.4;;10.5;0.0;0.0;0.0;0.0;0.0;Medium Production
75;2024-03-22 19:00:00;39442.4375;472585.125;0.3125;50201.125;79254.5625;641483.5625;19.2;82.0;;;0.0;1.0;Northwest;7.8;Northwest;11.0;15.0;29.0;14.0;138.9;88.9;Low Production
76;2024-05-27 03:00:00;41765.0;492502.4375;0.0;15337.75;;632092.2937500001;9.2;95.0;;;0.0;;North;5.9;North;14.0;;0.0;0.0;0.0;0.0;Low Production
77;2024-04-30 19:00:00;63571.6875;688333.875;183.625;34756.1875;92801.125;879646.5;10.6;76.0;;;0.0;34.0;Southeast;11.8;South;20.4;;104.0;49.0;313.6;;Medium-Low Production
78;2024-10-21 00:00:00;57906.9375;86799.5625;0.0;18670.875;42269.94775;205647.32275;14.4;97.0;;;0.0;96.0;West;6.9;West;14.2;0.0;0.0;0.0;0.0;;Medium-Low Production
79;2024-02-29 02:00:00;nan;380546.25;0.0625;52161.4375;88650.02075000003;545383.08325;6.4;98.0;;;0.0;97.0;;2.2;East;7.3;0.0;0.0;0.0;0.0;0.0;High Production
80;2024-06-08 04:00:00;44254.875;;0.1875;7987.75;98814.5625;;17.5;91.0;0.6;0.6;0.0;93.0;South;;South;14.0;0.0;0.0;0.0;0.0;0.0;High Production
81;2024-06-14 05:00:00;47174.5625;342960.875;88.75;6738.8125;84074.1875;481037.1875;16.2;83.0;0.1;0.1;0.0;100.0;Northwest;;Northwest;10.1;0.0;0.0;0.0;0.0;0.0;High Production
82;2024-03-11 14:00:00;43058.25;225203.85;22614.125;;109518.5625;451832.9125;14.2;62.0;0.1;0.1;0.0;98.0;South;13.0;South;17.4;322.0;522.0;200.0;465.9;958.3;High Production
83;2024-04-26 01:00:00;40469.25;270237.75;0.0;27562.375;92847.875;;;90.0;;;0.0;100.0;North;5.2;North;7.6;0.0;;0.0;0.0;0.0;High Production
84;2024-05-07 12:00:00;nan;44163.875;36040.5625;34269.5625;115529.76308075;280943.82558075;20.4;53.0;;;0.0;100.0;West;3.7;West;5.2;734.0;896.0;162.0;830.7;1187.2;Medium-Low Production
85;2024-01-29 05:00:00;4277.375;450229.8125;nan;41310.9375;75326.4375;571144.5625;8.0;85.0;;;0.0;100.0;South;8.2;Southwest;16.3;0.0;0.0;0.0;0.0;0.0;Low Production
86;2024-03-31 13:00:00;nan;585883.625;nan;53302.9375;118841.4375;803840.6875;11.7;68.0;0.3;0.3;0.0;100.0;South;18.1;South;;215.0;531.0;316.0;270.2;1091.0;Medium-High Production
87;2024-09-05 07:00:00;93591.125;318674.3125;6242.5;1699.5;49004.497;469211.9345;15.2;74.0;;;0.0;99.0;Southwest;11.3;South;20.6;9.0;;24.0;75.5;101.8;High Production
88;2024-08-31 13:00:00;41983.875;134761.0;29474.25;4727.0625;117917.88175;328864.06925;25.6;62.0;;;0.0;5.0;Northwest;9.0;Northwest;11.2;290.0;595.0;305.0;347.4;1121.0;Medium-Low Production
89;2024-05-16 11:00:00;53104.0625;271429.4375;22373.875;28722.6875;;;15.4;;0.1;0.1;0.0;97.0;Southeast;13.4;Southeast;17.3;460.0;686.0;226.0;555.0;;High Production
90;2024-07-04 14:00:00;58944.75;28230.625;34197.125;11038.8125;98897.287;231308.5995;33.4;;;;0.0;;;9.1;Northwest;11.5;822.0;927.0;105.0;;1227.3;Medium-Low Production
91;2024-08-08 18:00:00;nan;207901.25;5371.875;5448.9375;76314.66050000001;351626.098;30.0;53.0;;;0.0;0.0;South;10.8;South;14.2;;328.0;75.0;;;High Production
92;2024-02-23 00:00:00;27034.8125;1011037.1875;0.25;39643.875;;1164706.38875;7.2;86.0;1.2;1.2;0.0;96.0;Northwest;13.0;Northwest;;0.0;;0.0;0.0;0.0;Medium Production
93;2024-11-26 03:00:00;71091.25;127269.25;0.0;25324.875;31996.358750000007;255681.73375;10.6;87.0;;;0.0;100.0;North;4.0;Northeast;8.8;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
94;2024-10-19 11:00:00;61240.4375;469971.0;19887.5625;29178.9375;61237.54725;;16.9;94.0;0.6;0.6;0.0;;West;17.3;West;28.3;;62.0;62.0;0.0;739.4;Low Production
95;2024-12-01 21:00:00;67323.5;240049.25;0.0;23025.625;46855.0105;377253.3855;11.3;88.0;0.5;0.5;0.0;99.0;West;1.3;West;0.7;0.0;0.0;0.0;0.0;0.0;High Production
96;2024-03-10 02:00:00;20134.8125;;0.1875;51689.625;89150.9375;1191297.225;8.4;91.0;0.9;0.9;0.0;99.0;Southwest;9.9;Southwest;18.4;0.0;0.0;0.0;0.0;0.0;Medium Production
97;2024-12-15 09:00:00;69919.5;694481.875;8706.6875;16585.1875;56984.86599999998;846678.1159999999;4.9;74.0;;;;0.0;Northwest;8.1;North;18.8;37.0;59.0;22.0;317.8;117.5;Medium-High Production
98;2024-11-01 01:00:00;56000.75;569739.6875;0.0;;44357.505000000005;682694.6925;15.9;78.0;;;;99.0;North;11.0;;25.3;0.0;0.0;0.0;0.0;;Low Production
99;2024-09-23 19:00:00;79709.25;487349.0;0.0;5549.625;40417.04899999997;613024.924;15.1;90.0;;;0.0;28.0;Northeast;4.0;Northeast;10.2;1.0;7.0;6.0;13.3;43.3;Low Production
100;2024-10-13 07:00:00;49004.0625;597485.6875;1792.3125;21311.3125;46991.2175;;16.4;85.0;;;0.0;1.0;;10.8;East;;;1.0;1.0;0.0;15.5;Low Production
101;2024-10-07 21:00:00;66289.6875;789771.875;0.0;26382.0;43481.08900000001;925924.6515;15.2;94.0;0.3;0.3;0.0;100.0;;14.0;Northwest;23.4;0.0;0.0;0.0;;0.0;Medium-High Production
102;2024-04-02 07:00:00;40728.25;933970.375;nan;53433.625;81040.875;1111008.375;11.8;85.0;0.8;0.8;0.0;100.0;Southeast;22.5;Southeast;37.5;0.0;3.0;3.0;0.0;81.5;Medium Production
103;2024-01-18 18:00:00;22295.4375;;0.25;49621.0;89358.0;199919.0;10.6;94.0;0.1;;0.0;100.0;East;3.1;Southeast;5.6;0.0;5.0;5.0;0.0;43.1;Medium-Low Production
104;2024-11-08 17:00:00;70523.9375;104846.875;442.125;23151.1875;45991.139;244955.264;16.5;89.0;0.1;0.1;0.0;73.0;Southwest;7.7;Southwest;14.0;24.0;64.0;40.0;166.7;182.6;Medium-Low Production
105;2024-11-07 16:00:00;70069.9375;260264.5625;3469.75;23380.4375;51247.60175;408432.28925;;71.0;;;0.0;100.0;Northwest;5.3;Northwest;11.7;124.0;219.0;95.0;429.4;402.4;High Production
106;2024-07-09 04:00:00;43581.1875;202231.0;0.0;6804.4375;73648.71625;326265.34125;17.3;95.0;0.1;0.1;0.0;100.0;Northwest;9.9;Northwest;17.3;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
107;2024-04-30 03:00:00;45591.3125;302375.1875;0.0;25597.9375;94186.75;467751.1875;9.8;86.0;1.3;1.3;0.0;;Southeast;7.9;Southeast;16.0;0.0;0.0;0.0;0.0;0.0;High Production
108;2024-07-20 21:00:00;41816.5;470364.8125;0.125;5858.4375;78685.47399999999;596725.3489999999;18.5;93.0;;;0.0;100.0;Northwest;7.2;Northwest;14.6;0.0;0.0;nan;0.0;0.0;Low Production
109;2024-03-02 16:00:00;22686.9375;1076165.325;5640.6875;49841.0625;102327.5;1256661.5125;8.8;73.0;1.4;1.4;0.0;57.0;South;20.0;South;;;352.0;128.0;466.9;668.2;Medium Production
110;2024-12-10 14:00:00;72947.125;125471.375;27805.9375;18317.4375;63500.0545;308041.9295;13.2;52.0;;;0.0;0.0;;3.4;Southeast;4.8;323.0;391.0;68.0;801.9;568.1;Medium-Low Production
111;2024-05-07 03:00:00;42285.6875;432530.125;0.0;28435.9375;75963.35699999999;579215.107;7.8;;;;0.0;0.0;West;6.0;West;15.0;0.0;0.0;0.0;0.0;0.0;Low Production
112;2024-10-29 15:00:00;68980.5625;582223.875;10846.875;23126.5;;739347.3025;23.6;53.0;;;0.0;6.0;Southwest;7.7;Southwest;11.3;343.0;417.0;74.0;762.6;;Low Production
113;2024-10-12 06:00:00;50572.5;492750.0;0.25;23536.4375;40735.95324999999;607595.14075;16.5;93.0;0.9;0.9;0.0;92.0;Northwest;18.3;North;31.3;0.0;0.0;0.0;;0.0;Low Production
114;2024-09-02 00:00:00;78691.375;367010.9375;0.0;2226.6875;44079.35875;492008.35875;;90.0;;;;44.0;Northwest;4.0;Northwest;4.9;;0.0;0.0;0.0;;Medium-High Production
115;2024-10-13 04:00:00;43802.9375;688669.4375;0.3125;23828.375;41323.23300000001;797624.2955;15.6;88.0;;;0.0;;Northwest;6.9;North;;0.0;0.0;0.0;0.0;0.0;Medium-High Production
116;2024-04-03 07:00:00;39686.0625;276364.1875;3173.3125;54408.0;80489.375;454120.9375;12.1;95.0;;;0.0;100.0;South;14.1;South;23.1;0.0;11.0;11.0;0.0;;High Production
117;2024-08-20 19:00:00;45570.875;470992.4375;165.4375;4114.9375;79502.87224999999;600346.55975;27.5;48.0;;;0.0;0.0;Northwest;17.4;Northwest;29.0;61.0;104.0;43.0;370.6;215.0;Low Production
118;2024-09-29 17:00:00;65885.0;124908.375;9509.375;7969.25;41545.554;249817.554;19.3;52.0;;;0.0;53.0;Northeast;2.6;Northeast;3.4;19.0;115.0;96.0;58.8;440.6;Medium-Low Production
119;2024-08-10 14:00:00;39518.625;140392.875;33010.125;3807.25;118732.82675;335461.70175;33.7;46.0;;;0.0;5.0;South;10.5;South;12.6;674.0;;120.0;768.2;1168.1;Medium-Low Production
120;2024-10-15 13:00:00;70359.4375;564137.4375;8700.5;26970.8125;59382.16949999996;729550.357;22.0;69.0;0.3;0.3;0.0;100.0;East;11.7;East;15.7;103.0;;288.0;162.1;874.4;Low Production
121;2024-07-05 22:00:00;55212.5;637777.0;0.3125;6140.0625;;773715.32125;20.0;71.0;;;0.0;0.0;Northwest;11.8;Northwest;22.3;0.0;0.0;0.0;0.0;0.0;Medium-High Production
122;2024-11-28 15:00:00;75493.625;792071.4375;11670.5;24487.6875;56426.481750000006;;;54.0;;;;71.0;;15.0;;25.4;250.0;315.0;65.0;721.1;487.3;Medium-High Production
123;2024-12-14 04:00:00;72073.3125;94617.4375;0.0;8190.625;46204.3205;221085.6955;5.5;82.0;;;0.0;29.0;West;7.1;West;15.3;0.0;0.0;nan;0.0;;Medium-Low Production
124;2024-08-20 16:00:00;nan;385276.0;23397.0;3770.0625;104569.1875;563255.9375;30.8;40.0;;;0.0;0.0;;19.8;Northwest;26.4;536.0;635.0;99.0;798.9;896.6;Low Production
125;2024-07-25 00:00:00;45170.4375;287784.25;0.0;2746.5;72546.935;408248.1225;23.5;85.0;;;0.0;;North;;Northeast;1.3;0.0;0.0;0.0;0.0;0.0;High Production
126;2024-12-03 22:00:00;nan;711167.875;0.0;15584.9375;41189.908000000025;841244.9705;11.9;95.0;0.4;0.4;0.0;100.0;West;2.6;West;6.5;0.0;;0.0;0.0;0.0;Medium-High Production
127;2024-02-05 05:00:00;18492.4375;4605.75;nan;33379.8125;88075.64925;144553.71175000002;7.4;92.0;;;0.0;100.0;Northeast;4.3;Northeast;6.5;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
